deltaGreen,deltaRed,dissimilarity,entropy,exposureGreenRed,exposureRedGreen,greenRatio,gridId,isolationGreen,isolationRed,moranGreen,moranRed,redRatio,seed,similarWanted,step,unsatisfiedRatio
0.6328015921616662,0.6002487896718669,0.17180120741287072,0.08152606450884005,0.3305530457180944,0.5807349366946187,0.32666017746702264,./Grids/quantGrids/-2797320021_config.csv,0.669446954281907,0.41926506330538216,-0.00432201508699389,-0.004322015086993898,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
0.6202932285368798,0.6278425976884969,0.1799277148042237,0.08029398691146751,0.32436140510539835,0.5905269829877048,0.32666017746702264,./Grids/quantGrids/-2797320021_config.csv,0.6756385948945991,0.4094730170122944,-0.003202499872625229,-0.0032024998726252287,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
0.6196378682052839,0.629858078602617,0.17254030317054692,0.07692775490024784,0.3280304303623488,0.589631117458086,0.32666017746702264,./Grids/quantGrids/-2797320021_config.csv,0.6719695696376519,0.41036888254191317,-0.0015163141191216415,-0.001516314119121657,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
0.7482662538699685,0.7386939313984129,0.12895022750108245,0.07273259489577495,0.3421716217327762,0.5832265636922792,0.32666017746702264,./Grids/quantGrids/-18905927952_config.csv,0.6578283782672235,0.4167734363077209,-0.00533133669817738,-0.005331336698177383,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
0.6014517583408473,0.6166434927697431,0.16335052171985498,0.07000232462177494,0.3251553874187939,0.601664056697622,0.32666017746702264,./Grids/quantGrids/16528562122_config.csv,0.6748446125812069,0.39833594330237787,-0.002235987274226301,-0.002235987274226291,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
0.6364901477832514,0.6411987213638778,0.16596566289881926,0.0706611140976126,0.33877925196084807,0.5862306927910675,0.32666017746702264,./Grids/quantGrids/14913241421_config.csv,0.6612207480391536,0.41376930720893257,-0.007054436756859996,-0.006536668938426511,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
0.697136027143738,0.6953186404673356,0.14884008776208982,0.07062666673617093,0.34059667905293955,0.586412338549992,0.32666017746702264,./Grids/quantGrids/16643977991_config.csv,0.6594033209470591,0.4135876614500088,0.0020930942953867335,0.0016712363463596653,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
0.7501348039215678,0.7538876947877448,0.15019004646458298,0.07016218712915372,0.3367216573062416,0.5905746853560301,0.32666017746702264,./Grids/quantGrids/10703081612_config.csv,0.6632783426937601,0.40942531464397064,-0.008622154417635822,-0.00857320174446845,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
0.7555645659561278,0.757754237288131,0.13623103888827792,0.07335279036227199,0.340473323272281,0.583745840801045,0.32666017746702264,./Grids/quantGrids/-8153468482_config.csv,0.6595266767277226,0.4162541591989571,-0.00579675544274287,-0.005796755442742881,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
0.6913691400186268,0.6938445378151209,0.1882453384955348,0.07953318981623142,0.3402518462774212,0.5756046201993545,0.32666017746702264,./Grids/quantGrids/8616417833_config.csv,0.6597481537225808,0.4243953798006451,-0.0012762939015875591,-0.0016127399724227705,0.18597325831238104,-6588727787209537693,0.01741765932040963,1.0,0.0
